original_idx,news,type,length,category_mlc
134,"Ukraine trims privatisation check Ukraine is to review dozens of state asset sales as the country new administration tackles corruption. The figure announced by President Viktor Yushchenko is less than the 3,000 cases mentioned last week, but will cover many of the biggest deals. Ukraine recently ousted long-serving leader Leonid Kuchma and has said it wants closer European Union links. In a separate statement, the EU said that the US should back Ukraine entry into the World Trade Organisation. The comments came as Viktor Yushchenko prepared to head to Brussels to meet with US President George W Bush and other North Atlantic Treaty Organisation (Nato) leaders. He is the only non-Nato member leader invited to attend the summit. Mr Yushchenko recently defeated Moscow-backed presidential candidate and Prime Minister Viktor Yanukovych at the polls, and has made no secret of his wish to fight corruption and make Ukraine more transparent. Earlier this month, new Prime Minister Yulia Tymoshenko said as many as 3,000 firms may have their privatisations put under the spotlight. Her comments raised concerns among a number of investors and Mr Yushchenko was seen on Monday as trying to soothe their frayed nerves. We acknowledge that business in Ukraine is now shaped and 98% of privatisations were carried out according to the law, Mr Yushchenko said on Monday. We have trust in this business and want to defend it by law, he continued, adding that any review would focus on dozens of companies, not hundreds or thousands. He cited last year sale of Ukrainian steel producer Krivorizhstal as one that had raised concerns. It was sold in June 2004 to a consortium that included Viktor Pinchuk, son-in-law of former-President Kuchma, and Rinat Akhmetov, the country richest man, for $800m (£424m) - despite other higher offers. Vice-Prime Minister Oleg Rybachuk called on the EU to recognise the steps that Ukraine was taking, fearing that should the country not be rewarded for its efforts there may be a backlash against closer relations with Brussels. He said that while he understood that Ukraine was not ready for EU membership, the country needed to see progress on topics such as trade and visa requirements. We deserve an honest response, Mr Rybachuk told the Associated Press in an interview. We understand the difficulties. We refuse to understand double standards. Ukraine may find it has a sympathetic ear in Brussels The EU has reiterated that we support (Ukraine) fast accession to the WTO and if possible we would like that to happen some time during the year, said Claude Veron-Reville, a spokesman for EU trade commissioner Peter Mandelson. We have said as much to the Americans. We feel that it is important for us all to pull together for Ukraine to be allowed into the WTO. Mr Yushchenko was careful not to turn his back on Russia, which borders the country to the east, saying it was important to maintain 'pragmatic' ties with Moscow. Russia is Ukraine eternal strategic partner, Mr Yushchenko said.",business,498,talk.politics.misc
135,"Unilever shake up as profit slips Anglo-Dutch consumer goods giant Unilever is to merge its two management boards after reporting unsatisfactory earnings for 2004. It blamed the poor results on sluggish decision making, a rise in discounted retailers and a wet European summer. The company also cited difficult trading conditions and a lack of demand for goods such as its Slimfast range. Unilever, which owns brands including Dove soap, said annual pre-tax profit fell 36% to 2.9bn euros (£1.99bn). Shares fell 1% to 510.75 pence in London, and dropped by 1.2% to 50.50 euros in Amsterdam. Under the restructuring plans, Patrick Cescau, the UK-based co-chairman, will become group chief executive. Dutch co-chairman Antony Burgmans will take on the role of non-executive chairman. We have recognised the need for greater clarity of leadership and we are moving to a simpler leadership structure that will provide a sharper operational focus, Mr Burgmans said. We are leaving behind one of the key features of Unilever governance but this is a natural development following the changes introduced last year. The company, which has had dual headquarters in Rotterdam and London since 1930, will announce the location of its head office at a later date. Unilever is not alone in trying to simplify its business. Oil giant Shell last year dismantled its dual-ownership structure, after a series of problems relating to the size of its oil reserves that hammered its share price and led to the resignation of key board members. The best part of the news this morning was that the company announced a structure simplification, said Arjan Sweere, an analyst at Petercam. The company said the organizational changes would speed decision making, and it also may make further changes. The company said its main focus will be on improving profits, and it is planning to accelerate and increase investment in its 400 main brands. While it is certainly the case that markets have been tougher in the past eighteen months than we had expected, we have also lost some market share, said Mr Cescau. We let a range of targets limit our ability flexibility and did not adjust our plans quickly enough to a more difficult business environment. Our objective is to reverse the share loss that we experienced in some markets in 2004 and return to growth. Unilever said European sales fell 2.8% last year, dragged down by below part sales at its beverage division, where revenues dipped by almost 4%. Sales of ice cream and frozen food dipped by 3.4% In the US last year, revenue grew by 1.5% despite disappointing sales in Slimfast, the company said. In Asia, leading products came under attack from rivals such as Procter & Gamble. Unilever took a 1.5bn euro one-time charge in the fourth quarter, including a 650m euro write-down on Slimfast diet foods. Sales of Slimfast products have been hit in recent years by the popularity of the Atkins diet. But looking ahead, Unilever said it was optimistic about prospects for its slimming products saying that demand is on the wane for rival low-carbohydrate diets. The company also said it planned to spend 500m euros this year buying back shares.",business,527,talk.politics.misc
139,"Cairn shares slump on oil setback Shares in Cairn Energy, a UK oil firm, have closed down 18% after a disappointing drilling update and a warning over possible tax demands. The company said tests had shown no significant finds in one of its Indian oil fields, but was upbeat about the potential of other areas. It also said the Indian government had told it to pay a production tax, for which Cairn argues it is not liable. Cairn shares have jumped by almost 400% this year. Investors had piled into Cairn after the company announced significant oil finds in India this year. Chief executive Bill Gammell said on Friday he was disappointed with exploration in the so-called N-C extension area in Rajasthan. Investors had held high hopes of major oil finds in this area. But Cairn said estimates had been revised in what was a significant downgrade of the initial expectation. Cairn also said that the government believed the company was liable to pay taxes under its production-sharing contract. The company said the rate would be about 900 rupees ($20.40; £10.50) per tonne, or seven barrels, of oil. A spokesman for the firm said that the tax would wipe 5% of the field current value. Cairn refutes the government position, Mr Gammell said. He insisted that the contract made it clear that the tax should be shouldered by the licensee - India state-run Oil & Natural Gas Corp (ONGC) - and not the contractor. We have a pretty strong legal case here, he added, saying it would only become an issue once the firm started production. Investors took a dim view of the statements though. The shares closed down 247p, or 18%, at 1115 pence. I think people were slightly over-ambitious for how quickly Cairn would be able to develop and potentially offload these reserves, said analyst Jason Kenney at ING. The disappointments overshadowed increased production targets for Cairn existing oilfields. The company raised targets for its Mangala and Aishwariya fields in India from 60,000 barrels a day to between 80,000 and 100,000 barrels a day. Its Mangala field, thought to contain a billion barrels, is its biggest find to date. These two fields will provide the core of the future developments in Rajasthan, Mr Gammell said. Cairn added that it would be appraising another field early next year. Mr Gammell set up the company in the 1980s and has successfully switched its focus to South Asia from interests in the US and Europe. Cairn, which also operates in Nepal and Bangladesh, was catapulted into the FTSE 100 index of leading UK shares earlier this year after the sharp rise in its share price.",business,444,talk.politics.misc
144,"French wine gets 70m euro top-up The French government is to hand its struggling wine industry 70m euros ($91m) in aid to help it battle falling sales and damaging overproduction. The financial package is aimed at assisting vintners in financial trouble and improving how its wine is marketed. The French wine industry, the world second largest, has been hit by declining consumption at home and the growing popularity of New World wines. Wine makers, however, claimed the support did not go far enough. The package was announced by agriculture minister Dominique Bussereau after talks with vintners' representatives. The bulk of the money - about 40m euros - will be offered in the form of preferential loans to heavily indebted producers to enable them to reschedule their payments. A further 15m euros will be made available to wine cooperatives, which make up the majority of French producers, in low interest loans. Efforts to promote French wine abroad are to be boosted by an extra 3.5m euros in funding. France fell behind the 'New World' producers of Australia, Chile and the United States for the first time in 2003 in terms of exports. Domestic consumption, accounting for 70% of sales, has suffered from strict restrictions on advertising and tough drink-driving laws. The aid package would create a positive climate around French viticulture, Mr Bussereau said. However, wine makers and farmers said the support was much less than they had been hoping for. I am afraid the resources are not up to the ambitions, Jean-Michel Lemetayer, from the FNSEA agricultural union, told the Associated Press news agency. In an effort to tackle overcapacity, the government will agree that vines can be destroyed in areas where growers give their unanimous consent, while 500 vintners will be helped to take early retirement. The government will also seek European Union approval to distil about 250 million litres of excess wine into alcohol, with vintners receiving compensation. Production is currently outstripping demand by about 30%. The support is designed to make French producers more competitive in the face of increasing global consolidation across the wine industry. Wine makers in France best-known regions, such as Burgundy, have found it hard to invest in new technology and to create recognisable brands to appeal to overseas buyers.",business,377,talk.politics.misc
147,"LSE doubts boost bidders' shares Shares in Deutsche Boerse have risen more than 3% after a shareholder fund voiced opposition to the firm planned takeover of the London Stock Exchange. TCI, which claims to represent owners of 5% of Deutsche Boerse (DB) shares, has complained that the £1.35bn ($2.5bn) offer for the LSE is too high. Opposition from TCI has fuelled speculation that the proposed takeover could fail. Rival exchange operator Euronext has also said it may bid for the LSE. Euronext operates the Paris, Amsterdam, Brussels and Lisbon bourses, while Deutsche Boerse runs the Frankfurt exchange. BBC News spoke to a number of analysts on Monday morning about shareholder worries over Deutsche Boerse bid for LSE. Although none were prepared to speak on the record, most thought it was unlikely that TCI opposition would halt the deal Obviously we'll have to wait and see, but I don't think it will make much difference. Deutsche Boerse appears very committed, said one London-based broker. He forecast the takeover bid would succeed and was more concerned to see improvements in the daily running of the LSE. In voicing its opposition to the planned takeover, TCI said it would prefer to see Deutsche Boerse return $500m (£350m) to shareholders. The Deutsche Boerse was prepared to pay for the LSE exceeds the potential benefits of this acquisition, said TCI. Another Deutsche Boerse shareholder on Monday also appeared to back TCI call. Another investor in Deutsche Boerse has supported the view that a payout to shareholders would be preferable to Deutsche Boerse overpaying for the LSE, Reuters news agency reported. We prefer a sensible entrepreneurial solution at a price that is not too high, said Rolf Dress, a spokesman for Union Investment. If that cannot be achieved, then we would wish for a distribution of liquid assets to shareholders. The Financial Times also reported a third Deutsche Boerse shareholder as opposed to the deal. It quoted a spokesman for US-based hedge fund Atticus Capital complaining that the planned takeover appeared to be motivated by empire-building rather than the best interests of shareholders. TCI has called for Deutsche Boerse to hold an emergency general meeting to discuss the bid for LSE. Yet under German business law, DB does not have to gain shareholder approval before making a significant acquisition. Deutsche Boerse said TCI opposition would not change its bid approach. Deutsche Boerse is convinced that its contemplated cash acquisition of the London Stock Exchange is in the best interests of its shareholders and the company, it said. DB shares were up 3.4% to 45.25 euros by 1030 GMT, the highest gainer in Frankfurt.",business,437,talk.politics.misc
153,"Yukos accused of lying to court Russian oil firm Yukos lied to a US court in an attempt to stop the Russian government selling off its key production unit, the court has heard. The unit, Yugansk, was sold to pay off a $27.5bn (£14.5bn) back tax bill. Yukos argued that since it had a US subsidiary and local bank accounts, the US court could declare it bankrupt and stop the auction of Yugansk. But Deutsche Bank - itself a target of a Yukos lawsuit - said documents had been backdated to strengthen the case. Deutsche Bank evidence came on the first day of a two-day hearing in Houston. Its lawyer, Hugh Ray, told the court that Yukos had claimed it had transferred $27m into two Texas bank accounts opened by its new US subsidiary. By doing so, he said, the firm had intended to reinforce its US presence - and thus its chances of getting its case heard in US courts. But he said that the papers documenting the transaction were not drawn up till weeks after Yukos made its bankruptcy application on 14 December, and then backdated. Yukos chief financial officer Bruce Misamore, who had moved to the US in early December to set up Yukos USA, acknowledged the point. He said the discrepancy was only in the paperwork, but that money had indeed been transferred on 14 December. Even so, he told the court that only $480,000 had been in the accounts that day, with the rest arriving a day later. Deutsche Bank is involved in the case because it is itself being sued by Yukos. It had agreed to loan to an arm of Russian state gas firm Gazprom the money to bid for Yuganskneftegaz, as the Yukos unit is formally known. The sale went ahead, despite an order from the US bankruptcy court ordered that it should be stopped. In the end, the auction was won by an unknown shell company for $9.4bn - much less than most assessments of its value - before ending up in the hands of state-controlled oil firm Rosneft. Rosneft, meanwhile, has agreed to merge with Gazprom, bringing a large chunk of Russia very profitable oil business back under state control. Yukos maintains that it filed for bankruptcy in the US because it feared it would not be able to do so in Russia. It also said that in the event of going bust, it could offer the chance of restructuring. It gives us a kind of life after death alternative, said Yukos chief executive Steven Theede. Yukos is currently suing four companies - Gazprom, its unit Gazpromneft, Rosneft and the shell company which won the bidding - for their part in Yugansk disposal. It has also threatened to sue the Russian government for $28bn. Analysts have questioned whether a US court has any jurisdiction over Russian companies, while Moscow officials have dismissed Yukos' legal wrangling as meaningless. Yukos claims that the rights of its shareholders have been ignored and that is has been punished for the political ambitions of its founder Mikhail Khodorkovsky. Mr Khodorkovsky, once Russia richest man, is in prison, having been charged with fraud and tax evasion and repeatedly denied bail.",business,534,talk.politics.misc
156,"Qantas considers offshore option Australian airline Qantas could transfer as many as 7,000 jobs out of its home country as it seeks to save costs, according to newspaper reports. Chief executive Geoff Dixon was quoted by The Australian newspaper as saying the carrier could no longer afford to remain all-Australian. Unions criticised the possible move - which may affect cabin and maintenance staff - saying Qantas was profitable. More than 90% of the airline staff are based in Australia. Qantas confirmed it was looking at whether it might recruit and source products overseas - potentially through joint ventures - but said it would continue to create jobs in Australia. Despite making a record Australian dollars 648m ($492m) profit last year, Qantas has argued that it needs to make considerable savings if it is to remain competitive. We're going to have to get the lowest cost structure we can and that willmean sourcing things more and more from overseas, the newspaper quoted Qantas chief executive Geoff Dixon as saying. Early this year, Qantas increased the number of flight attendants based in London from 370 to 870. If Qantas were to follow the lead of other airlines moving staff 'offshore' 7,000 jobs could shift overseas, the newspaper reported. In a statement, Qantas said it was looking to build its operations overseas. However, it stressed this would not result in large scale redundancies in its home market, where most of its 35,000 staff are employed. We are totally committed to continuing to grow jobs in Australia, Mr Dixon said. We are, however, operating in a global market and there is no room for complacency simply because we are currently profitable and successful. Unions reacted angrily to the reported disclosure, arguing that Qantas was profitable and did not need to take such action. We could understand if Qantas was a struggling airline about to go under, Michael Mijatov, international division secretary of the Flight Attendants Association, told Agence France Presse. Qantas announced a record profit last year and is on course this year for an even greater profit so it is totally unnecessary. In an effort to meet the challenge posed by low cost carriers, Qantas sought a tie-up with Air New Zealand last year However, the deal was thrown out by the New Zealand High Court on competition grounds.",business,386,talk.politics.misc
157,"Disaster claims 'less than $10bn' Insurers have sought to calm fears that they face huge losses after an earthquake and giant waves killed at least 38,000 people in southern Asia. Munich Re and Swiss Re, the world two biggest reinsurers, have said exposure will be less than for other disasters. Rebuilding costs are likely to be cheaper than in developed countries, and many of those affected will not have insurance, analysts said. Swiss Re has said total claims are likely to be less than $10bn (£5.17bn). Swiss Re believes that the cost would be substantial but that it is unlikely to be in double-digit billions, the Financial Times reported. Munich Re, the world largest reinsurance company, said that its exposure is less than 100m euros (£70m; $136m). At least 10 countries have been affected, with Sri Lanka, Indonesia, India and Thailand among the worst hit. The region resorts and Western tourists are expected to be among the main claimants. Lloyds of London told the Financial Times it expected its exposure to be limited to holiday resorts, personal accident, travel insurance and marine risks. A spokeswoman for Hanover Re, Europe fifth-largest reinsurance firm, estimated tsunami-related damage claims would be in the low double-digit millions of euros. The company has paid out about 300 million euros (£281m; $400m) to cover damage caused recently by four major hurricanes in the US. But insurers have not had long to assess the economic impact of the damage and reports of more casualties and destruction are still coming through. So many things are unclear, it is just too early to tell, said Serge Troeber, deputy head of Swiss Re natural disasters department. You need very complicated processes to estimate damages. Unlike the hurricanes, you can't just run a model. He anticipated that his own company total claims would be less then those from the hurricanes, which the company put at $640m. Allianz, a leading German insurer, said it did not know yet what its exposure would be. However, it said the tidal waves were unlikely to have a significant impact on its business. Zurich Financial said they could not yet assess the cost of the disaster. The impact on US insurance companies is not expected to be heavy, analysts said. Most US insurers have relatively little exposure to Asia and those that do, pass on a lot of the risk to reinsurance companies or special catastrophe funds. Insured damage could be a fraction of the billions of dollars worth of destruction in Sri Lanka, India, Thailand, Indonesia, the Maldive Islands and Malaysia, said Prudential Equity Group insurance analyst Jay Gelb. US insurers are likely to have only minimal to no exposure. It more likely the Bermuda-based reinsurance [companies] might have some exposure, said Paul Newsome, an insurance analyst at AG Edwards & Co. Many of the affected countries, such as Indonesia, Sri Lanka or the Maldives, do not usually buy insurance for these kinds of disasters, said a US-based insurance expert. Early estimates from the World Bank put the amount of aid needed for the worst affected countries including Sri Lanka, India, Indonesia and Thailand, at about $5bn (£2.6bn), similar to the cash offered to Central America after Hurricane Mitch. Mitch killed about 10,000 people and caused damage of about $10bn in 1998. But the cost of the tsunamis on the individuals involved is incalculable. We cannot fathom the cost of these poor societies and the nameless fishermen and fishing villages ... that have just been wiped out. Hundreds of thousands of livelihoods have gone, said Jan Egeland, head of the UN Office for the Coordination of Humanitarian Affairs. Tourists cutting short their holidays in affected areas may suffer a financial impact too. The Association of British insurers warned that travel insurance does not normally cover cutting short a holiday. It said loss of possessions will usually be covered, but the Association stressed the importance of checking the wording of travel policies.",business,656,talk.politics.misc
159,"UK house prices dip in November UK house prices dipped slightly in November, the Office of the Deputy Prime Minister (ODPM) has said. The average house price fell marginally to £180,226, from £180,444 in October. Recent evidence has suggested that the UK housing market is slowing after interest rate increases, and economists forecast a drop in prices during 2005. But while the monthly figures may hint at a cooling of the market, annual house price inflation is still strong, up 13.8% in the year to November. Economists, however, forecast that ODPM figures are likely to show a weakening in annual house price growth in coming months. Overall, the housing market activity is slowing down and that is backed up by the mortgage lending and the mortgage approvals data, said Mark Miller, at HBOS Treasury Services. The ODPM data is a fairly lagging indicator. The figures come after the Bank of England said the number of mortgages approved in the UK has fallen to the lowest level for nearly a decade. The Halifax, meanwhile, said last week that house prices increased by 1.1% in December - the first monthly rise since September. The UK biggest mortgage lender said prices rose 15.1% over the whole of 2004, but by only 2.8% in the second half of the year. It is predicting a 2% fall in overall prices in 2005 as the market stabilises after large gains in recent years. The ODPM attributed the monthly fall of prices in November to a drop in the value of detached houses and flats. It said annual inflation rose between October and November because prices had fallen by 1.1% in the same period in 2003. The ODPM data showed the average house price was £192,713 in England; £139,544 in Wales; £116,542 in Scotland, and £111,314 in Northern Ireland. All areas saw a rise in annual house price inflation in November except for Northern Ireland and the West Midlands, where the rate was unchanged, the ODPM said. The North East showed the highest rate of inflation at 26.2%, followed by Yorkshire and the Humber on 21.7%, and the North West on 21.1%. The East Midlands, the West Midlands and the South West all had an annual inflation rate of more than 15%. In London, the area with the highest average house price at £262,825, annual inflation rose only slightly in November to 7.1% from 7% the previous month.",business,401,talk.politics.misc
160,"India and Russia in energy talks India and Russia are to work together in a series of energy deals, part of a pact which could see India invest up to $20bn in oil and gas projects. On the agenda are oil and gas extraction as well as transportation deals, to be led by Russian energy giant Gazprom and India ONGC. The Indian firm is also expected to hold talks on Tuesday about buying a stake in assets once owned by Yukos. It is reported to be keen on buying a 15% stake in oil unit Yuganskneftegas. The former Yukos subsidiary was controversially sold off last year and eventually acquired by state-owned energy giant Rosneft. Russian media reported that India and Russia signed a memorandum of understanding on energy co-operation on Tuesday during a meeting between Oil and Natural Gas Corporation chairman Subir Raha, Gazprom chairman Aleksey Miller and India petroleum minister Mani Shankar Aiyar. The agreement is likely to see the two companies develop refining facilities in Russia, India and elsewhere and organise delivery of oil, gas and petrochemicals from Russia to India and other countries across Asia. ONGC could invest in gas and oil fields in Sakhalin, in the far east of Russia, and may also take part in joint tender bids for projects in eastern Siberia and the Caspian Sea. India is urgently searching for fresh energy supplies - particularly liquefied natural gas - as domestic demand is growing at more than 5% a year. ONGC Mr Raha said the two could work together on joint bids from next year. At current oil and gas prices, our cash flow situation is good, he told Reuters. What we are saying is - Gazprom has a huge amount of gas and we have the money. The investment may go up to $20bn or more for a period of five years or so. Russian news agencies reported that India petroleum minister Mr Aiyar and Russian energy minister Viktor Khristenko would discuss the future of Yugansk at a meeting on Tuesday. ONGC Mr Raha declined to be drawn on his firm reported interest in the company. However, he stressed that ONGC was not interested in a 'loan-for-oil deal' in connection to Yugansk, similar to that concluded recently between Rosneft and China National Petroleum Corporation. China problem is it has immediate demand and they needed the oil for their coastal refineries. We do not. We would like long-term security through equity participation. It is thought that any decision over Yugansk will be delayed until a US court has decided whether to grant Yukos bankruptcy protection. Yukos is suing a host of companies involved in the sale of Yugansk, auctioned off to pay a huge back-tax bill. It has also threatened legal action against any business which has future commercial dealings with its former subsidiary.",business,471,talk.politics.misc
164,"Gold falls on IMF sale concerns The price of gold has fallen after the International Monetary Fund (IMF) said it will look at ways of using its gold reserves to provide debt relief. By revaluing its holdings, the IMF may be able to sell billions of dollars of gold and use the cash to cancel debts owed by the world poorest nations. The plan was put forward by G7 finance ministers over the weekend. The price of gold fell to $413.50 an ounce in Asia, before rebounding slightly in early European trading. IMF boss Rodrigo Rato was asked by G7 ministers to carry out a study into the feasibility of revaluing and selling gold reserves. He is expected to present his conclusions at an IMF meeting in Washington during April. Whatever happens the market is going to be disconcerted and on the back foot until the April IMF meetings, said John Reade, an analyst at UBS. The IMF values its gold reserves at between $40 and $50 an ounce, a price that was fixed in the 1970s and is about a tenth of the metal current market value. The IMF has 3,217 tonnes of gold, or about 113.5m ounces. Bringing the book price of the gold in line with market value would boost the IMF balance sheet, giving it more money to distribute. This idea has been put forward before, but there now seems to be a more committed political drive to address the issue of global poverty. This is the first time there has been a mention of the use of gold in a G7 communiqu&#233; for achieving debt relief, said UK Chancellor of the Exchequer Gordon Brown. At their meeting in London, G7 finance ministers backed plans to write off up to 100% of the debts owed by some of the world poorest countries. Mr Brown said the meeting would be remembered as the 100% debt relief summit. While debt relief seems to have jumped to the top of the global agenda, not everyone is convinced that selling IMF gold is the best way forward. The US, which can veto any plan to sell IMF gold should it so choose, said it is looking at other ways of solving the problem. The US is not convinced that the necessary way to do it, said Treasury Under Secretary John Taylor. Canada, a key gold producer, also expressed reservations.",business,399,talk.politics.misc
167,"Man Utd to open books to Glazer Manchester United board has agreed to give US tycoon Malcolm Glazer access to its books. Earlier this month, Mr Glazer presented the board with detailed proposals on an offer to buy the football club. In a statement, the club said it would allow Mr Glazer limited due diligence to give him the opportunity to take the proposal on to a formal bid. But it said it continued to oppose Mr Glazer plans, calling his assumptions aggressive and his plan damaging. Many of Manchester United supporters own shares in the club, and the fan-based group Shareholders United is strongly opposed to any takeover by Mr Glazer. About 300 fans protested outside the Old Trafford ground two days ago. Rival local club Manchester City has pleaded with visiting fans not to protest inside its ground when the two teams play a televised match on Sunday. Manchester United response comes as little surprise, as the board made clear. Any board has a responsibility to consider a bona fide offer proposal, the club said in its statement. Should it become a firm offer, it should be at a price that the board is likely to regard as fair and on terms which may be deliverable. But it also stressed that it stayed opposed to Mr Glazer proposal. The board continues to believe that Mr Glazer business plan assumptions are aggressive, the statement said, and the direct and indirect financial strain on the business could be damaging. Whether or not the bid is attractive in monetary terms, in the case of Manchester United many investors hold the stock for sentimental rather than financial reasons. At present, Mr Glazer and his family hold a 28.1% stake, making them Manchester United second biggest shareholders. They own the successful Tampa Bay Buccaneers American football team based in Florida. If the family makes a formal offer, they will need the support of the club biggest shareholders. Irish horse racing millionaires JP McManus and John Magnier own 29% of United through their investment vehicle Cubic Expression, and have yet to express a view on the bid approach. A group of five MPs are calling on the Department of Trade and Industry to block any takeover of the club by the US football magnate on public interest grounds. They have signed a House of Commons motion, and Tony Lloyd, the Manchester Central MP, whose constituency includes the club Old Trafford ground, has pledged to take the matter to Tony Blair if necessary. The Commons motion says any takeover designed to transform the club into a private company would be against the interests of those supporters and football. However, the DTI has dismissed the proposal. A spokesman said the department did not believe there was a case for changing the Enterprise Act so that takeovers of football clubs could be looked at on non-competition grounds. Mr Glazer offer values the club at £800m ($1.5bn). Pitched at 300p per share, it also relies less on debt to finance it than an earlier approach from the US tycoon, which was rejected out of hand. Manchester United shares closed at 270.25p on Friday, down 3.75p on the day.",business,530,talk.politics.misc
170,"Could Yukos be a blessing in disguise? Other things being equal, the notion of entrepreneurs languishing in jail while their companies are sold off for a song ought to be bad for business. But in the looking-glass world of modern Russia, the opposite might just be true, a new report* has argued. The study, from the Centre for Economic Policy Research, does not praise the rough handling of oil company Yukos. But it argues that more rigorous tax policing has benefited all Russian firms, even targets of the tax police. An increase in tax enforcement can increase the amount [of dividends and other income] outside shareholders will receive, even accounting for increased levels of taxation, the authors say. The paper reasoning is complex, and is based on a sophisticated model of the relationship between tax regimes and corporate governance - in particular, the propensity of management to steal from the company. The calculations demonstrated what many Russian analysts already knew: that increasing the tax rate increases the amount that managers steal, since undeclared income becomes relatively more valuable. In the West, meanwhile, higher tax rates translate far more smoothly into higher government revenues. On the other hand, increasing the rigour with which taxes are collected encourages companies to become more transparent, forcing them to be able to demonstrate their financial position far more accurately. The net result, the authors say, is that the extra amount companies pay in tax is more than compensated for by greater efficiency and financial soundness. After Vladimir Putin became president in 2000, he did not raise taxes, but put a lot of effort - too much, critics argue - into enforcement. Since then, the Russian stock market has more than trebled in value, a rise the authors attribute at least in part to the newly tough approach. The report highlights the case of Sibneft, a Russian oil company that came close to merging with Yukos last year. After Mr Putin came to power, the company overall effective tax rate rose from 2.6% to 10.4%, and Sibneft was the target of a series of aggressive raids by fiscal police. But shareholders benefited hugely: Sibneft started to pay dividends - $53m in 2000 and almost $1bn in 2001 - and closed down the network of opaque subsidiaries it had previously used for siphoning off unofficial funds. According to the authors, although a variety of changes were sweeping through Russian industry at the time, the increase in tax enforcement is the only likely explanation for the change of fortunes at Sibneft and many of its peers. Does this analysis make sense? In part, certainly. For all its faults, corporate Russia has become far more orderly and law-abiding since 2000. Companies have rushed to list their shares on international stock exchanges - something unthinkable in the wilder days of the 1990s - and most large firms now produce their accounts to international standards. Foreign direct investment, long negligible, is starting to flow in serious amounts - $7bn in 2003 - and stock market returns have been among the healthiest in Europe. But the authors' model does not quite cover all the complexities. For a start, the model assumes that the various parties have clearly-defined motivation: companies want to maximise profit, governments want to maximise tax revenue. In fact, the alarmingly close connections between big business and government in Russia - connections often greased by bribery - blur the apparently antagonistic relationship. Companies can, for example, persuade officials to overlook non-payment of taxes. And the authors' definition of tax enforcement seems unrealistically Western. Genuine, disinterested tax collection might well work wonders in Russia; the problem with recent examples has been the erratic and unpredictable way laws are enforced. The case against Yukos, for example, has moved in fits and starts, with little clarity from the government about its intentions, and little faith from investors that the letter of the law would be followed. As far as most commentators are concerned, the state is pursuing Yukos out of a political vendetta, rather than simply to enforce fiscal rectitude. Since Yukos' founder, Mikhail Khodorkovsky, was arrested a year ago, the Russian market has dropped by 10% - an indication that few investors feel optimistic about the salutary effect on corporate performance.",business,709,talk.politics.misc
171,"US data sparks inflation worries Wholesale prices in the US rose at the fastest rate in more than six years in January, according to government data. New figures show the Labor Department producer price index (PPI) rose by 0.3% - in line with forecasts. But core producer prices, which exclude food and energy costs, surged by 0.8%, the biggest rise since December 1998, increasing inflationary concerns. In contrast, the University of Michigan barometer of US retail consumer confidence showed a slight dip. The university index of consumer spending fell to 94.2 in early February from 95.5 in January, which could indicate a fall in retail spending by the US public. The mixed set of data on Friday led to volatile early Wall Street trade, as the Dow Jones, Standard and Poor 500, and Nasdaq swung between positive and negative territory. The economic figures come on the back of increased fears that the Federal Reserve chairman may be about to raise interest rates in order to stifle any inflationary pressures. The Fed has been raising interest rates at a gradual pace since June 2004, in an attempt to make sure inflation does not get out of control. Mr Greenspan told Congress this week that the central bank was on guard against the possibility that a rebounding economy could trigger stronger inflation pressures. The PPI would argue for Greenspan to continue to raise rates at a measured pace, said Joe Quinlan, chief market stategist at Bank of America Capital Management. But this Michigan survey tells you that the consumer might be downshifting a little bit in terms of their confidence and their spending; this could be an indication of that. Consumer spending accounts for 66% of US economic activity and is viewed as a gauge of the health of the economy, which is why the Michigan data is closely observed. However on Friday, it was overshadowed by the core PPI core figure, which surged 2.7% during the past 12 months, the biggest year-on-year gain in nine years. The concern is that traders might interpret this big jump in the core PPI as an impetus for the Fed to be more aggressive than a measured move in moving rates, said Paul Cherney, chief market analyst at Standard & Poor. But Ian Shepherdson, chief US economist at High Frequency Economics, said the PPI report was much less alarming than at first glance. One-time increases in alcohol and tobacco prices, which are no indication of broad PPI pressure, were responsible for the increase, he said. Prices for autos and trucks also jumped in January, but Shepherdson said it is a good bet these increases won't stick.",business,441,talk.politics.misc
